ba,srmer_co2e
CISO,107.25
LDWP,107.25
ERCO,183.83333333333334
ISNE,132.95000000000002
NYIS,113.5
PJM,236.34999999999997
MISO,208.35555555555553
SWPP,256.725
SOCO,272.8666666666667
TVA,272.8666666666667
DUK,272.8666666666667
CPLE,272.8666666666667
FPL,306.48333333333335
FPC,306.48333333333335
PSCO,223.04999999999998
AZPS,244.33333333333334
SRP,244.33333333333334
PNM,244.33333333333334
BPAT,95.75
PACW,95.75
PGE,95.75
IPCO,284.0833333333333
NEVP,240.71666666666667
PACE,262.4
WACM,223.04999999999998
AECI,246.9
LGEE,273.4833333333333
