ba,mef_short_run,lrmer_long_run,rank_short_run,rank_long_run,rank_shift,annual_kt_short,annual_kt_long,divergence_kt
BPAT,7.428389484729946,95.75,1,1,0,6.507269188623433,83.877,77.36973081137656
PGE,51.40179676606317,95.75,4,1,3,45.02797396707134,83.877,38.849026032928656
PACW,10.386800231114918,95.75,2,1,1,9.09883700245667,83.877,74.77816299754332
CISO,141.70564996533227,107.25,10,4,6,124.13414936963106,93.951,-30.183149369631067
LDWP,70.88674194507108,107.25,5,4,1,62.09678594388227,93.951,31.854214056117726
NYIS,254.57576669613812,113.5,14,6,8,223.008371625817,99.426,-123.582371625817
ISNE,331.29093101627535,132.95000000000002,19,7,12,290.2108555702572,116.46420000000002,-173.7466555702572
ERCO,256.022646424518,183.83333333333337,15,8,7,224.27583826787776,161.03800000000004,-63.23783826787772
MISO,578.5140663755683,208.35555555555553,25,9,16,506.77832214499784,182.51946666666663,-324.2588554783312
PSCO,97.56054393751683,223.05,7,10,-3,85.46303648926474,195.3918,109.92876351073525
WACM,163.96006378475394,223.05,11,10,1,143.62901587544445,195.3918,51.76278412455554
PJM,400.01960098635067,236.34999999999997,21,12,9,350.4171704640432,207.04259999999996,-143.37457046404322
NEVP,132.36581916529084,240.71666666666667,9,13,-4,115.95245758879479,210.8678,94.9153424112052
PNM,263.39630638740823,244.33333333333337,16,14,2,230.73516439536962,214.03600000000003,-16.699164395369593
AZPS,94.36460669415352,244.33333333333337,6,14,-8,82.66339546407849,214.03600000000003,131.37260453592154
SRP,172.54739839314533,244.33333333333337,12,14,-2,151.15152099239532,214.03600000000003,62.88447900760471
AECI,525.5162672393661,246.9,24,17,7,460.3522501016848,216.2844,-244.06785010168477
SWPP,598.8237406338438,256.725,26,18,8,524.5695967952472,224.89110000000002,-299.67849679524716
PACE,120.60341906546518,262.4,8,19,-11,105.6485951013475,229.86239999999998,124.21380489865248
TVA,219.03630360920198,272.8666666666667,13,20,-7,191.87580196166093,239.0312,47.15539803833909
DUK,352.45273558568715,272.8666666666667,20,20,0,308.74859637306196,239.0312,-69.71739637306194
CPLE,311.0308528715766,272.8666666666667,18,20,-2,272.4630271155011,239.0312,-33.43182711550111
SOCO,435.42470508252205,272.8666666666667,23,20,3,381.43204165228934,239.0312,-142.40084165228933
LGEE,694.2497322239636,273.4833333333333,27,24,3,608.1627654281922,239.57139999999998,-368.5913654281922
IPCO,22.38036944681132,284.0833333333333,3,25,-22,19.605203635406713,248.85699999999997,229.25179636459325
FPL,294.18865781273934,306.48333333333335,17,26,-9,257.70926424395964,268.4794,10.77013575604036
FPC,425.93534896162276,306.48333333333335,22,26,-4,373.1193656903815,268.4794,-104.63996569038153
