ba,mef_siler_evans,mef_vre_ramp,mef_outage,n_vre,n_trips,mef_mean,mef_spread_pct
AECI,525.5162672393661,138.2836373584826,,1801,0,331.89995229892435,116.6714930805787
AZPS,94.36460669415352,115.14053786607266,,1661,0,104.7525722801131,19.833337472958053
BPAT,7.428389484729946,-2.1978786916321296,,1773,0,2.6152553965489083,368.0813808496448
CISO,141.70564996533227,24.5246359557572,,2021,0,83.11514296054473,140.98635920677128
CPLE,311.0308528715766,144.8116096679877,,1815,0,227.92123126978214,72.92837191057518
DUK,352.45273558568715,632.4351627549196,,445,0,492.44394917030337,56.85569446857093
ERCO,256.022646424518,385.009066346993,236.5214976524905,3367,22,292.5177368080005,50.76190261651214
FPC,425.93534896162276,424.6180117200338,,918,0,425.2766803408283,0.3097600462205506
FPL,294.18865781273934,440.1237419948359,,1696,0,367.15619990378764,39.74741110740836
IPCO,22.38036944681132,42.200255939208986,4.908589492250012,3003,48,23.163071626090105,160.99620572322925
ISNE,331.29093101627535,,,0,0,,
LDWP,70.88674194507108,299.46242830262463,-65.9628492650183,2223,47,101.4621069942258,360.1593623405034
LGEE,694.2497322239636,,,0,0,,
MISO,578.5140663755683,495.99045856762456,,2216,0,537.2522624715964,15.360309034027868
NEVP,132.36581916529084,240.77115608132533,-212.55324718387087,2217,21,53.52790935424844,846.8935341096344
NYIS,254.57576669613812,,,0,0,,
PACE,120.60341906546518,542.1912867817962,-63.32104865641347,4882,28,199.82455239694931,303.0219901283032
PACW,10.386800231114918,28.893781026596802,-12.482493217937128,2071,64,8.932696013258196,463.20029454849833
PGE,51.40179676606317,,35.094911052920935,0,31,43.24835390949205,37.70521705234945
PJM,400.01960098635067,413.71211935656527,,1143,0,406.86586017145794,3.3653642909347115
PNM,263.39630638740823,70.14663772215299,-4.94607417898576,4948,31,109.53228997685848,244.989290941592
PSCO,97.56054393751683,397.7631013776207,22.361814008953857,3882,19,172.56181977469714,217.54597155894865
SOCO,435.42470508252205,480.1389621818735,,1276,0,457.7818336321978,9.767590982056507
SRP,172.54739839314533,427.66572686927327,205.98150552637875,1921,55,268.7315435962658,94.93426974073802
SWPP,598.8237406338438,566.8790136155939,,2897,0,582.8513771247189,5.480767185596686
TVA,219.03630360920198,502.66826280152674,,198,0,360.85228320536436,78.60057214350704
WACM,163.96006378475394,665.063591469489,-315.5270566762309,2910,20,171.16553285933733,572.8902494356516
