ba,"AEF (avg, prod, BA)",MEF short-run prod (regression),MEF short-run prod (VRE instrument),MEF short-run consumption (flow-trace),LRMER long-run (Cambium),SRMER short-run (Cambium model),AR-MEF short-run (state-dependent)
AECI,697.418809,525.516267,138.283637,706.393871,246.9,246.9,519.13647
AZPS,436.823207,94.364607,115.140538,272.502257,244.333333,244.333333,
BPAT,24.815908,7.428389,-2.197879,2.448313,95.75,95.75,64.052191
CISO,172.886459,141.70565,24.524636,0.0,107.25,107.25,185.783911
CPLE,222.198793,311.030853,144.81161,456.491098,272.866667,272.866667,225.793745
DUK,296.400798,352.452736,632.435163,350.266761,272.866667,272.866667,164.293184
ERCO,317.72986,256.022646,385.009066,201.484536,183.833333,183.833333,389.610648
FPC,463.887787,425.935349,424.618012,519.009214,306.483333,306.483333,382.888573
FPL,320.809752,294.188658,440.123742,255.208603,306.483333,306.483333,401.35301
IPCO,115.374909,22.380369,42.200256,126.125915,284.083333,284.083333,179.294617
ISNE,278.461129,331.290931,,357.386781,132.95,132.95,260.903681
LDWP,345.496917,70.886742,299.462428,145.718071,107.25,107.25,211.855194
LGEE,873.653433,694.249732,,790.833105,273.483333,273.483333,
MISO,445.613199,578.514066,495.990459,537.840692,208.355556,208.355556,379.840274
NEVP,327.722197,132.365819,240.771156,203.021716,240.716667,240.716667,376.635669
NYIS,251.613023,254.575767,,324.81419,113.5,113.5,314.222698
PACE,511.100704,120.603419,542.191287,100.560193,262.4,262.4,788.22178
PACW,106.682423,10.3868,28.893781,57.145203,95.75,95.75,
PGE,338.274769,51.401797,,80.371353,95.75,95.75,282.576593
PJM,361.721514,400.019601,413.712119,444.416996,236.35,236.35,259.723555
PNM,181.982846,263.396306,70.146638,244.499174,244.333333,244.333333,184.231681
PSCO,344.918703,97.560544,397.763101,157.676639,223.05,223.05,334.656711
SOCO,402.315336,435.424705,480.138962,462.873294,272.866667,272.866667,
SRP,217.288384,172.547398,427.665727,162.641918,244.333333,244.333333,219.725839
SWPP,393.900741,598.823741,566.879014,515.418693,256.725,256.725,481.923678
TVA,323.630582,219.036304,502.668263,312.384885,272.866667,272.866667,43.131763
WACM,617.029117,163.960064,665.063591,338.550937,223.05,223.05,
