ba,"AEF (avg, prod, BA)",MEF short-run prod (regression),MEF short-run prod (VRE instrument),MEF short-run consumption (flow-trace),LRMER long-run (Cambium),SRMER short-run (Cambium model)
AECI,26.0,24.0,7.0,26.0,17.0,17.0
AZPS,21.0,6.0,6.0,14.0,14.0,14.0
BPAT,1.0,1.0,1.0,2.0,1.0,1.0
CISO,4.0,10.0,2.0,1.0,4.0,4.0
CPLE,7.0,18.0,8.0,21.0,20.0,20.0
DUK,10.0,20.0,22.0,18.0,20.0,20.0
ERCO,11.0,15.0,11.0,10.0,8.0,8.0
FPC,23.0,22.0,14.0,24.0,26.0,26.0
FPL,12.0,17.0,16.0,13.0,26.0,26.0
IPCO,3.0,3.0,4.0,6.0,25.0,25.0
ISNE,9.0,19.0,,19.0,7.0,7.0
LDWP,17.0,5.0,10.0,7.0,4.0,4.0
LGEE,27.0,27.0,,27.0,24.0,24.0
MISO,22.0,25.0,18.0,25.0,9.0,9.0
NEVP,14.0,9.0,9.0,11.0,13.0,13.0
NYIS,8.0,14.0,,16.0,6.0,6.0
PACE,24.0,8.0,20.0,5.0,19.0,19.0
PACW,2.0,2.0,3.0,3.0,1.0,1.0
PGE,15.0,4.0,,4.0,1.0,1.0
PJM,18.0,21.0,13.0,20.0,12.0,12.0
PNM,5.0,16.0,5.0,12.0,14.0,14.0
PSCO,16.0,7.0,12.0,8.0,10.0,10.0
SOCO,20.0,23.0,17.0,22.0,20.0,20.0
SRP,6.0,12.0,15.0,9.0,14.0,14.0
SWPP,19.0,26.0,21.0,23.0,18.0,18.0
TVA,13.0,13.0,19.0,15.0,20.0,20.0
WACM,25.0,11.0,23.0,17.0,10.0,10.0
