ba,n_specs,rank_mean,rank_min,rank_max,rank_std,rank_range,verdict
BPAT,6,1.1666666666666667,1.0,2.0,0.408248290463863,1.0,robust-green
PACW,6,2.0,1.0,3.0,0.8944271909999159,2.0,robust-green
CISO,6,4.166666666666667,1.0,10.0,3.125166662222459,9.0,flips
PGE,5,5.0,1.0,15.0,5.787918451395113,14.0,flips
LDWP,6,7.833333333333333,4.0,17.0,5.036533199202271,13.0,flips
NYIS,5,10.0,6.0,16.0,4.69041575982343,10.0,flips
ERCO,6,10.5,8.0,15.0,2.588435821108957,7.0,flips
PSCO,6,10.5,7.0,16.0,3.2093613071762426,9.0,flips
IPCO,6,11.0,3.0,25.0,10.89954127475097,22.0,flips
PNM,6,11.0,5.0,16.0,4.8166378315169185,11.0,flips
NEVP,6,11.5,9.0,14.0,2.16794833886788,5.0,flips
SRP,6,11.666666666666666,6.0,15.0,3.502380143083653,9.0,flips
ISNE,5,12.2,7.0,19.0,6.260990336999411,12.0,flips
AZPS,6,12.5,6.0,21.0,5.718391382198319,15.0,flips
CPLE,6,15.666666666666666,7.0,21.0,6.408327915038888,14.0,flips
PACE,6,15.833333333333334,5.0,24.0,7.5210814825174355,19.0,flips
PJM,6,16.0,12.0,21.0,4.147288270665544,9.0,flips
WACM,6,16.0,10.0,25.0,6.752777206453653,15.0,flips
TVA,6,16.666666666666668,13.0,20.0,3.386246693120078,7.0,flips
MISO,6,18.0,9.0,25.0,7.429670248402684,16.0,flips
FPL,6,18.333333333333332,12.0,26.0,6.2182527020592095,14.0,flips
DUK,6,18.333333333333332,10.0,22.0,4.273952113286563,12.0,flips
AECI,6,19.5,7.0,26.0,7.395944834840239,19.0,flips
SOCO,6,20.333333333333332,17.0,23.0,2.0655911179772892,6.0,flips
SWPP,6,20.833333333333332,18.0,26.0,3.188521078284832,8.0,flips
FPC,6,22.5,14.0,26.0,4.460941604639093,12.0,flips
LGEE,5,25.8,24.0,27.0,1.6431676725154982,3.0,robust-dirty
