NODE,mcc_mean,mcc_std,mcc_p10,mcc_p90,n
AFPR_1_TOT_GEN-APND,0.0,0.0,0.0,0.0,96
AFTON_3_AFTONCC-APND,0.0,0.0,0.0,0.0,96
AGRICO_6_PL3N5-APND,-2.7351409375,17.126666959516122,-17.907815,11.159575,96
AGRICO_7_UNIT-APND,-2.7351409375,17.126666959516122,-17.907815,11.159575,96
ALAMIT_2_PL1X3-APND,-3.9982562500000003,11.643508269022366,-12.03011,0.0,96
ALF_1_ALBENI_F_PLANT-APND,0.0,0.0,0.0,0.0,96
ANTLPE_2_QF-APND,-5.804293958333333,11.777282337515237,-16.420365,0.0,96
APXGS_5_CC-APND,0.0,0.0,0.0,0.0,96
AQUAWS_2_AQWSR1-APND,-2.5976025000000003,11.281441516686364,-16.80944,1.139665,96
ATHOS_5_AP1X2-APND,-6.803526875,18.202415831986606,-10.797754999999999,0.0,96
ATHOS_5_AP2X2-APND,-6.803526874999999,18.202415831986603,-10.797754999999999,0.0,96
AVA_AVA.AVRN-APND,0.0,0.0,0.0,0.0,96
AVA_AVA.BPAT-APND,0.0,0.0,0.0,0.0,96
AVA_AVA.COLSTRIP-APND,0.0,0.0,0.0,0.0,96
AVA_AVAT.NWMT-APND,0.0,0.0,0.0,0.0,96
AVA_COYSPR2-APND,0.0,0.0,0.0,0.0,96
AVA_DRYCREEK-APND,0.0,0.0,0.0,0.0,96
AVA_LOLO-APND,0.0,0.0,0.0,0.0,96
AVA_MAINCANALGEN-APND,0.0,0.0,0.0,0.0,96
AVA_MIDC.AV-APND,0.0,0.0,0.0,0.0,96
AVA_MIDCREMOTE-APND,0.0,0.0,0.0,0.0,96
AVA_POPD-APND,0.0,0.0,0.0,0.0,96
AVA_SUMMERFALLGEN-APND,0.0,0.0,0.0,0.0,96
AVA_WALLAWALLA-APND,0.0,0.0,0.0,0.0,96
AVRN_AVA.AVRN-APND,0.0,0.0,0.0,0.0,96
AVRN_BPAT.AVRN-APND,0.0,0.0,0.0,0.0,96
AVRN_KFALLSGEN.AVRN-APND,0.0,0.0,0.0,0.0,96
AVRN_KFALLSGENAVRN-APND,0.0,0.0,0.0,0.0,96
AVRN_MSS_COLUMB-APND,0.0,0.0,0.0,0.0,96
AVRN_MSS_KLICK-APND,0.0,0.0,0.0,0.0,96
AVRN_MSS_WASCO-APND,0.0,0.0,0.0,0.0,96
AZPS_BUCKEYE230-APND,0.0,0.0,0.0,0.0,96
AZPS_CHOLLA500_SRP-APND,0.0,0.0,0.0,0.0,96
