ba,mef,rank_mean,rank_p05,rank_p95,p_top5,p_rank1
BPAT,7.428389484729946,1.0284,1.0,1.0,1.0,0.9716
PACW,10.386800231114918,1.9718,2.0,2.0,1.0,0.0284
IPCO,22.38036944681132,3.002,3.0,3.0,1.0,0.0
PGE,51.40179676606317,4.083,4.0,5.0,0.9972,0.0
LDWP,70.88674194507108,5.2254,5.0,6.0,0.7638,0.0
AZPS,94.36460669415352,6.6318,5.0,9.0,0.1758,0.0
PSCO,97.56054393751683,6.7832,6.0,8.0,0.037,0.0
PACE,120.60341906546518,8.2714,6.0,11.0,0.0166,0.0
NEVP,132.36581916529084,8.9958,6.950000000000017,11.0,0.0094,0.0
CISO,141.70564996533227,9.627,8.0,11.0,0.0,0.0
WACM,163.96006378475394,10.9058,8.0,12.0,0.0002,0.0
SRP,172.54739839314533,11.5094,10.0,12.0,0.0,0.0
TVA,219.03630360920198,13.1082,13.0,14.0,0.0,0.0
ERCO,256.022646424518,14.697,14.0,16.0,0.0,0.0
NYIS,254.57576669613812,14.8884,13.0,17.0,0.0,0.0
PNM,263.39630638740823,15.4168,14.0,16.0,0.0,0.0
FPL,294.18865781273934,16.9026,16.0,17.0,0.0,0.0
CPLE,311.0308528715766,17.9622,18.0,18.0,0.0,0.0
ISNE,331.29093101627535,18.9914,19.0,19.0,0.0,0.0
DUK,352.45273558568715,19.9984,20.0,20.0,0.0,0.0
PJM,400.01960098635067,21.0028,21.0,21.0,0.0,0.0
FPC,425.93534896162276,22.1944,22.0,23.0,0.0,0.0
SOCO,435.42470508252205,22.8028,22.0,23.0,0.0,0.0
AECI,525.5162672393661,24.0,24.0,24.0,0.0,0.0
MISO,578.5140663755683,25.033,25.0,25.0,0.0,0.0
SWPP,598.8237406338438,25.9806,26.0,26.0,0.0,0.0
LGEE,694.2497322239636,26.9864,27.0,27.0,0.0,0.0
