ba,aef,prod_mef,cons_mef,rank_aef,rank_prod_mef,rank_cons_mef,rerank_aef_to_cons,rerank_prod_to_cons
CISO,173.1524801835256,142.2359565302581,0.0,4,10,1,3,9
BPAT,24.871992868799623,7.420426196098361,2.448313295518062,1,1,2,-1,-1
PACW,106.46064864815213,10.34011892495444,57.145203312240966,2,2,3,-1,-1
PGE,338.44000210658345,51.467495105000545,80.37135283717711,15,4,4,11,0
PACE,511.4464202740689,121.98018254668484,100.56019251827752,24,8,5,19,3
IPCO,115.47149411126755,22.278718268674375,126.12591511611733,3,3,6,-3,-3
LDWP,345.38010044278013,74.01926170253937,145.7180710116999,16,5,7,9,-2
PSCO,345.43779357063147,98.48088552125616,157.67663912376744,17,7,8,9,-1
SRP,217.47123169189118,172.9495247430763,162.6419181696865,6,12,9,-3,3
ERCO,317.76196972550355,256.82651754872666,201.48453572841223,11,15,10,1,5
NEVP,327.8908740096843,132.17989948681384,203.0217162198058,14,9,11,3,-2
PNM,182.37844213042922,263.2444907123023,244.49917431295628,5,16,12,-7,4
FPL,320.8614428909867,294.2213546509203,255.2086033344651,12,17,13,-1,4
AZPS,437.2979193872886,94.45072706022725,272.50225749595467,21,6,14,7,-8
TVA,323.7772362967133,219.54897452755367,312.38488469457235,13,13,15,-2,-2
NYIS,251.81104846112532,255.1741182497752,324.81418994097993,8,14,16,-8,-2
WACM,617.0936863058015,165.56163329525987,338.55093655473735,25,11,17,8,-6
DUK,296.6776818995736,352.5219047357969,350.26676141928834,10,20,18,-8,2
ISNE,278.5916820890462,330.93270029801204,357.386780736902,9,19,19,-10,0
PJM,361.89566794540826,400.3630338427239,444.4169961653637,18,21,20,-2,1
CPLE,222.44940031840454,311.6467887141191,456.4910979761023,7,18,21,-14,-3
SOCO,402.4933132031746,435.86595691402044,462.8732942609727,20,23,22,-2,1
SWPP,393.89037830843444,599.6491322764426,515.4186931325877,19,26,23,-4,3
FPC,464.0006501969169,426.18058465116206,519.009214212009,23,22,24,-1,-2
MISO,445.75097278136,578.9606024491403,537.8406919753278,22,25,25,-3,0
AECI,697.3057935426741,526.6202574677671,706.3938709402763,26,24,26,0,-2
LGEE,873.6588367437765,694.7537358964971,790.8331045547716,27,27,27,0,0
