ba,MEF short-run prod (regression),MEF short-run prod (VRE instrument),MEF short-run consumption (flow-trace),LRMER long-run (Cambium),SRMER short-run (Cambium model),AR-MEF short-run (state-dependent)
AECI,518.0878779999999,140.481516,706.393871,151.15,151.15,476.00470700000005
AZPS,86.93621800000001,117.338417,272.502257,148.583333,148.583333,
BPAT,0.0,0.0,2.448313,0.0,0.0,20.920427999999994
CISO,134.27726099999998,26.722515,0.0,11.5,11.5,142.65214799999998
CPLE,303.602464,147.009489,456.491098,177.116667,177.116667,182.661982
DUK,345.02434700000003,634.6330419999999,350.266761,177.116667,177.116667,121.16142099999999
ERCO,248.594257,387.206945,201.484536,88.08333300000001,88.08333300000001,346.47888500000005
FPC,418.50696,426.815891,519.009214,210.73333300000002,210.73333300000002,339.75681000000003
FPL,286.760269,442.321621,255.208603,210.73333300000002,210.73333300000002,358.221247
IPCO,14.951980000000002,44.398135,126.125915,188.33333299999998,188.33333299999998,136.16285399999998
ISNE,323.862542,,357.386781,37.19999999999999,37.19999999999999,217.771918
LDWP,63.458352999999995,301.660307,145.718071,11.5,11.5,168.723431
LGEE,686.821343,,790.833105,177.73333300000002,177.73333300000002,
MISO,571.0856769999999,498.188338,537.840692,112.605556,112.605556,336.70851100000004
NEVP,124.93742999999999,242.969035,203.021716,144.966667,144.966667,333.50390600000003
NYIS,247.147378,,324.81419,17.75,17.75,271.090935
PACE,113.17503,544.3891659999999,100.560193,166.64999999999998,166.64999999999998,745.090017
PACW,2.958410999999999,31.09166,57.145203,0.0,0.0,
PGE,43.973408,,80.371353,0.0,0.0,239.44483
PJM,392.59121200000004,415.909998,444.416996,140.6,140.6,216.59179199999997
PNM,255.96791699999997,72.344517,244.499174,148.583333,148.583333,141.099918
PSCO,90.132155,399.96098,157.676639,127.30000000000001,127.30000000000001,291.524948
SOCO,427.99631600000004,482.336841,462.873294,177.116667,177.116667,
SRP,165.11900899999998,429.863606,162.641918,148.583333,148.583333,176.594076
SWPP,591.395352,569.0768929999999,515.418693,160.97500000000002,160.97500000000002,438.791915
TVA,211.607915,504.866142,312.384885,177.116667,177.116667,0.0
WACM,156.53167499999998,667.2614699999999,338.550937,127.30000000000001,127.30000000000001,
